"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","0","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava9And10","onlyForJava9And10()",""
"passed","Tue Feb 23 20:07:51 GMT 2021","Tue Feb 23 20:07:51 GMT 2021","105","","Product Controller","","com.luiz.actions.client.ProductControllerShould","addNewProduct","Add new product",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","3","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Feb 23 20:07:51 GMT 2021","Tue Feb 23 20:07:51 GMT 2021","12","","Product Controller","","com.luiz.actions.client.ProductControllerShould","findAll","Fill all products",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","34","","Product Service","","com.luiz.domain.model.ProductServiceTest","findAll","Find all products using service",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","4","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[5] 5, IPAD, 100",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[4] ENTERTAINMENT",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[3] 3, COROLLA, 20001",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[7] 7, MICHAEL JACKSON’S THRILLER, 20.99",""
"passed","Tue Feb 23 20:07:47 GMT 2021","Tue Feb 23 20:07:47 GMT 2021","17","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","add","Add new product by CLI",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[6] MOTORS",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[8] 8, HARRY POTTER, 15.0",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","2","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","onlyForJava8","onlyForJava8()",""
"passed","Tue Feb 23 20:07:47 GMT 2021","Tue Feb 23 20:07:47 GMT 2021","44","","Client by Command Line Interface","","com.luiz.actions.client.ProductCLITest","findAll","Find all products",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","44","","FindAllProductsQueryAdapterTest - Another way to inject mock","","com.luiz.actions.products.FindAllProductsQueryAdapterTest","execute","Product Query Adapter communicates with Service",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[7] SPORTING",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","0","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[8] TOYS",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","2","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[2] 2, LIPITOR, 30.2",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","29","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSVUsingAggregator","[1] 1, PLAYSTATION 1, 100.19",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Category Enum","","com.luiz.domain.model.CategoryTest","getDescription","[3] ELECTRONICS",""
"passed","Tue Feb 23 20:07:46 GMT 2021","Tue Feb 23 20:07:46 GMT 2021","1","","Product Service","","com.luiz.domain.model.ProductServiceTest","receiveProductsFromCSV","[9] 9, IPHONE, 300.2",""
